% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 26 2023, 17:28
% Table:              表格 1 - 系统矩阵 1
% 行                      列                        值
6                        14                       -4.78500171998624E10
7                        14                       2.545579635362918E10
8                        14                       -9.043687650498795E10
9                        14                       -3.439972480220159E10
11                       14                       3.4399724802201584E10
14                       14                       1.9841761265909872E11
15                       14                       -2.5455796353629166E10
16                       14                       -9.043687650498796E10
1                        15                       3.3230134158926727E10
2                        15                       1.50498796009632E10
3                        15                       -1.8610251117991062E10
4                        15                       -8.599931200550398E9
5                        15                       3.723770209838322E10
6                        15                       -2.063983488132093E9
7                        15                       2.7777777777777767E10
8                        15                       2.063983488132092E9
9                        15                       -4.78500171998624E10
10                       15                       -8.599931200550398E9
11                       15                       -9.043687650498796E10
12                       15                       -8.943928448572412E9
13                       15                       -1.647746818025455E10
14                       15                       -2.5455796353629166E10
15                       15                       7.512899896800826E10
16                       15                       3.654970760233918E10
1                        16                       1.5049879600963196E10
2                        16                       3.3230134158926735E10
3                        16                       -8.5999312005504E9
4                        16                       -4.7850017199862404E10
5                        16                       2.0639834881320982E9
6                        16                       2.7777777777777775E10
7                        16                       -2.0639834881320984E9
8                        16                       3.72377020983832E10
9                        16                       -8.599931200550394E9
10                       16                       -1.8610251117991055E10
11                       16                       -2.5455796353629177E10
12                       16                       -1.6477468180254562E10
13                       16                       -8.943928448572409E9
14                       16                       -9.043687650498796E10
15                       16                       3.654970760233918E10
16                       16                       7.512899896800826E10
